yyyy mm dd hh mi |  m s{-1}   |     C       |    %     |    mb    |  W m{-2}  |  W m{-2} | Inches/timestep
----------------------------------------------------------------------------------------------------------------------
1998 01 03 19 00     7.750    12.900    94.200   992.000   121.000   364.000     0.000
1998 01 03 19 30     9.040    13.700    91.900   992.000   139.000   364.000     0.000
1998 01 03 20 00     9.100    13.900    91.100   992.000   110.000   371.000     0.000
1998 01 03 20 30     8.580    13.900    91.500   992.000    93.000   369.000     0.000
1998 01 03 21 00     8.810    13.800    92.000   992.000    60.000   366.000     0.000
1998 01 03 21 30     7.880    13.500    93.200   992.000    20.000   366.000     0.000
1998 01 03 22 00     6.830    13.400    93.700   992.000     7.000   364.000     0.000
1998 01 03 22 30     6.150    13.200    94.300   993.000     3.000   366.000     0.000
1998 01 03 23 00     6.190    12.800    96.900   993.000     0.000   368.000     0.000
1998 01 03 23 30     6.060    12.500    99.900   993.000     0.000   371.000     0.020
1998 01 04 00 00     5.780    12.300   100.800   994.000     0.000   368.000     0.000
1998 01 04 00 30     6.050    12.200   100.800   994.000     0.000   365.000     0.000
1998 01 04 01 00     6.270    12.100   101.000   994.000     0.000   367.000     0.000
1998 01 04 01 30     6.250    12.100   101.600   994.000     0.000   362.000     0.010
1998 01 04 02 00     7.290    12.200   101.400   994.000     0.000   358.000     0.000
1998 01 04 02 30     7.690    12.200   101.600   994.000     0.000   357.000     0.010
1998 01 04 03 00     6.940    12.200   102.200   994.000     0.000   362.000     0.010
1998 01 04 03 30     7.310    12.200   102.200   994.000     0.000   364.000     0.000
1998 01 04 04 00     7.210    12.200   102.400   994.000     0.000   372.000     0.010
1998 01 04 04 30     6.550    12.200   102.600   994.000     0.000   373.000     0.000
1998 01 04 05 00     6.450    12.200   102.900   994.000     0.000   374.000     0.000
1998 01 04 05 30     6.370    12.300   102.900   994.000     0.000   374.000     0.000
1998 01 04 06 00     6.970    12.500   102.700   994.000     0.000   371.000     0.000
1998 01 04 06 30     7.010    12.500   103.000   994.000     0.000   373.000     0.010
1998 01 04 07 00     6.660    12.600   103.600   994.000     0.000   371.000     0.010
1998 01 04 07 30     6.560    12.500   103.800   994.000     0.000   368.000     0.000
1998 01 04 08 00     5.630    12.500   103.600   994.000     0.000   377.000     0.000
1998 01 04 08 30     6.050    12.700   103.100   994.000     0.000   378.000     0.000
1998 01 04 09 00     5.830    12.900   102.500   994.000     0.000   378.000     0.000
1998 01 04 09 30     4.000    12.600   103.100   994.000     0.000   377.000     0.000
1998 01 04 10 00     3.360    12.400   103.800   994.000     0.000   377.000     0.000
1998 01 04 10 30     3.170    12.300   104.000   994.000     0.000   375.000     0.000
1998 01 04 11 00     2.910    12.300   104.200   994.000     0.000   378.000     0.000
1998 01 04 11 30     3.300    12.200   104.200   994.000     0.000   377.000     0.000
1998 01 04 12 00     3.540    12.100   104.600   994.000     0.000   377.000     0.000
1998 01 04 12 30     4.400    12.300   104.600   995.000     0.000   377.000     0.000
1998 01 04 13 00     3.860    12.400   104.500   995.000     0.000   376.000     0.000
1998 01 04 13 30     3.830    12.500   104.400   995.000     1.000   377.000     0.000
1998 01 04 14 00     4.080    12.500   104.300   995.000    10.000   373.000     0.000
1998 01 04 14 30     4.100    12.500   104.200   996.000    11.000   377.000     0.000
1998 01 04 15 00     4.290    12.400   104.600   996.000    27.000   377.000     0.000
1998 01 04 15 30     4.590    12.500   104.700   996.000    40.000   376.000     0.000
1998 01 04 16 00     5.060    12.600   104.200   996.000    58.000   370.000     0.000
1998 01 04 16 30     5.400    12.300   102.600   996.000    43.000   371.000     0.000
1998 01 04 17 00     5.690    12.200   100.800   996.000    40.000   370.000     0.000
1998 01 04 17 30     5.070    12.500    99.500   995.000    95.000   371.000     0.000
1998 01 04 18 00     5.560    13.800    96.200   995.000   169.000   368.000     0.000
1998 01 04 18 30     6.460    13.600    97.600   994.000    59.000   376.000     0.000
1998 01 04 19 00     4.480    13.700    97.400   994.000    92.000   363.000     0.000
1998 01 04 19 30     4.630    14.000    94.200   994.000    82.000   360.000     0.000
1998 01 04 20 00     5.800    14.300    89.500   993.000    74.000   360.000     0.000
1998 01 04 20 30     4.780    14.100    92.400   993.000    60.000   364.000     0.000
1998 01 04 21 00     4.960    13.800    94.700   993.000    41.000   364.000     0.000
1998 01 04 21 30     4.440    13.600    96.600   993.000    25.000   362.000     0.000
1998 01 04 22 00     5.120    13.600    96.300   993.000    16.000   362.000     0.000
1998 01 04 22 30     5.250    13.700    94.900   993.000    11.000   361.000     0.000
1998 01 04 23 00     4.450    13.400    96.300   993.000     1.000   360.000     0.000
1998 01 04 23 30     6.350    13.500    94.500   993.000     0.000   364.000     0.000
1998 01 05 00 00     7.470    13.600    93.300   992.000     0.000   365.000     0.000
1998 01 05 00 30     8.050    13.400    94.000   992.000     0.000   366.000     0.010
1998 01 05 01 00     8.910    13.500    92.600   992.000     0.000   366.000     0.000
1998 01 05 01 30     7.140    13.500    92.500   992.000     0.000   367.000     0.000
1998 01 05 02 00     6.000    13.200    93.200   992.000     0.000   369.000     0.000
1998 01 05 02 30     4.810    13.000    93.900   992.000     0.000   369.000     0.000
1998 01 05 03 00     4.870    13.000    93.600   992.000     0.000   355.000     0.000
1998 01 05 03 30     5.760    13.300    91.400   992.000     0.000   322.000     0.000
1998 01 05 04 00     5.110    13.100    92.300   992.000     0.000   340.000     0.000
1998 01 05 04 30     5.030    13.100    92.100   992.000     0.000   328.000     0.000
1998 01 05 05 00     4.550    12.700    93.300   992.000     0.000   330.000     0.000
1998 01 05 05 30     4.220    12.200    94.700   992.000     0.000   343.000     0.000
1998 01 05 06 00     3.880    12.000    95.300   992.000     0.000   345.000     0.000
1998 01 05 06 30     3.400    11.900    95.100   992.000     0.000   346.000     0.000
1998 01 05 07 00     3.150    12.100    94.300   992.000     0.000   361.000     0.000
1998 01 05 07 30     4.160    12.100    94.700   992.000     0.000   368.000     0.000
1998 01 05 08 00     4.160    12.100    96.200   992.000     0.000   369.000     0.000
1998 01 05 08 30     3.320    12.100    97.900   992.000     0.000   368.000     0.000
1998 01 05 09 00     2.980    12.200    98.400   992.000     0.000   367.000     0.000
1998 01 05 09 30     3.490    12.000    98.900   992.000     0.000   372.000     0.000
1998 01 05 10 00     3.990    12.100    99.600   992.000     0.000   375.000     0.000
1998 01 05 10 30     4.250    12.100   100.600   992.000     0.000   373.000     0.000
1998 01 05 11 00     4.160    12.100   102.200   991.000     0.000   368.000     0.020
1998 01 05 11 30     3.150    12.100   103.800   991.000     0.000   373.000     0.030
